lon,lat
113.520489,22.264144
113.520586,22.262314
113.520572,22.261272
113.515286,22.251692
113.515539,22.249092
113.518725,22.239308
113.519631,22.240017
113.530761,22.235011
113.535200,22.233506
113.536261,22.233194
113.539033,22.232125
113.540033,22.231567
113.544858,22.229719
113.546000,22.229719
113.547844,22.225483
113.547961,22.224414
113.549561,22.220958
113.550733,22.220583
113.549336,22.220969
113.546419,22.229669
113.545189,22.229600
113.539094,22.231931
113.538019,22.232378
113.535692,22.233239
113.534589,22.233636
113.530456,22.235106
113.520222,22.240733
113.519247,22.241347
113.515842,22.247014
113.515775,22.248103
113.515406,22.251803
113.515047,22.255053
113.514975,22.256200
113.515361,22.257628
113.516497,22.257789
113.520556,22.257583
113.520569,22.258742
113.520542,22.263694
113.520439,22.264833
113.520167,22.267344
113.520125,22.268419
113.520508,22.268978
113.521747,22.269192
113.524728,22.269708
113.525869,22.269925
113.530247,22.270639
113.531339,22.270867
113.536508,22.271664
113.537619,22.271850
113.539694,22.272208
113.540819,22.272400
113.548711,22.273756
113.549719,22.273983
113.553917,22.274547
113.555053,22.274547
113.559617,22.274172
113.560792,22.273953
113.567114,22.273131
113.568225,22.273006
113.570433,22.276664
113.571394,22.276486
113.573333,22.275533
113.573861,22.276281
113.572886,22.279883
113.572214,22.280903
113.569639,22.284875
113.569089,22.285733
113.566728,22.285550
113.565614,22.285186
113.561314,22.281997
113.562328,22.282525
113.561075,22.281783
113.556078,22.274556
113.554928,22.274519
113.550525,22.274064
113.549414,22.273742
113.541392,22.272356
113.540214,22.272300
113.535533,22.271581
113.534369,22.271400
113.532036,22.270950
113.530983,22.270711
113.526164,22.270072
113.525022,22.269833
113.523056,22.269567
113.521986,22.269286
113.519861,22.268619
113.520006,22.267514
113.520281,22.265178
113.520486,22.264111
113.520514,22.262342
113.520489,22.261253
113.518433,22.257956
113.517322,22.257936
113.514656,22.256686
113.514817,22.255508
113.515119,22.252803
113.515269,22.251658
113.515522,22.249061
113.515614,22.247981
113.516444,22.241608
113.516972,22.240614
113.518736,22.239333
113.519625,22.240033
113.530764,22.235000
113.531825,22.234711
113.535289,22.233600
113.536233,22.233236
113.539036,22.232106
113.539989,22.231692
113.544878,22.229753
113.546014,22.229775
113.548275,22.225450
113.548397,22.224614
113.549556,22.220981
113.550694,22.220614
113.549333,22.220975
113.546383,22.229617
113.545278,22.229478
113.539092,22.231911
113.538000,22.232383
113.535694,22.233250
113.534600,22.233622
113.531592,22.234697
113.530539,22.235056
113.520231,22.240781
113.519286,22.241411
113.515997,22.246978
113.515867,22.248158
113.515483,22.251808
113.515300,22.252903
113.515083,22.255092
113.514942,22.256211
113.515308,22.257572
113.516506,22.257789
113.520306,22.257686
113.520597,22.258753
113.520506,22.263692
113.520361,22.264850
113.520086,22.267275
113.520044,22.268419
113.520561,22.268972
113.521703,22.269161
113.524811,22.269617
113.525881,22.269808
113.530217,22.270544
113.531422,22.270750
113.536458,22.271528
113.537644,22.271756
113.539706,22.272069
113.540906,22.272272
113.548683,22.273628
113.549842,22.273897
113.553842,22.274503
113.555050,22.274428
113.559628,22.274128
113.560733,22.273936
113.567075,22.273011
113.568283,22.272939
113.570519,22.276647
113.571375,22.276467
113.573147,22.275758
113.573933,22.276292
113.572925,22.279911
113.572297,22.280886
113.569639,22.284833
113.569128,22.285778
113.566758,22.285506
113.565581,22.285003
113.561378,22.282078
113.562311,22.282514
113.561761,22.284128
113.562183,22.288244
113.563211,22.288819
113.569569,22.285189
113.570297,22.284350
113.573314,22.279528
113.573939,22.278861
113.571081,22.277008
113.570356,22.276189
113.570247,22.274325
113.569356,22.273683
113.561872,22.273853
113.560736,22.274072
113.556117,22.274581
113.554975,22.274583
113.550464,22.274214
113.549331,22.273994
113.541289,22.272397
113.540222,22.272283
113.535544,22.271536
113.534328,22.271367
113.532025,22.271003
113.530903,22.270767
113.526244,22.270161
113.525058,22.269908
113.523036,22.269578
113.521989,22.269300
113.519847,22.268625
113.519997,22.267522
113.520269,22.265206
113.520522,22.264081
113.520522,22.262356
113.520500,22.261250
113.518489,22.257947
113.517358,22.257831
113.514642,22.256606
113.514853,22.255525
113.515158,22.252803
113.515275,22.251656
113.515556,22.249092
113.515683,22.247956
113.516494,22.241625
113.517072,22.240642
113.518683,22.239400
113.519561,22.240111
113.530958,22.235197
113.531819,22.234772
113.535319,22.233569
113.536200,22.233311
113.539125,22.232186
113.540019,22.231683
113.544889,22.229919
113.545750,22.230047
113.548053,22.225506
113.548069,22.224389
113.549567,22.220989
113.550722,22.220586
113.549397,22.220964
113.546422,22.229689
113.545192,22.229603
113.539081,22.231914
113.537986,22.232406
113.535697,22.233236
113.534589,22.233625
113.516028,22.247025
113.515878,22.248158
113.515336,22.257614
113.516531,22.257786
113.520436,22.257606
113.520589,22.258717
113.520531,22.263731
113.520411,22.264814
113.520131,22.267333
113.520108,22.268403
113.520492,22.269042
113.521678,22.269233
113.524717,22.269708
113.525872,22.269908
113.530261,22.270664
113.531353,22.270833
113.536494,22.271767
113.537597,22.271903
113.539694,22.272225
113.540833,22.272350
113.548658,22.273686
113.549769,22.273939
113.553889,22.274592
113.555061,22.274508
113.559625,22.274189
113.560794,22.273983
113.567158,22.273133
113.568247,22.273008
113.570475,22.276672
113.571411,22.276489
113.573361,22.275664
113.573842,22.276317
113.572894,22.279908
113.572217,22.280775
113.569711,22.284894
113.569131,22.285844
113.566742,22.285517
113.565614,22.285100
113.561406,22.282136
113.562319,22.282539
113.561767,22.284092
113.562231,22.288225
113.563253,22.288767
113.569650,22.285189
113.570244,22.284236
113.573186,22.279542
113.573711,22.278586
113.571050,22.276961
113.570319,22.276253
113.570364,22.274322
113.569417,22.273633
113.561839,22.273808
113.560708,22.274025
113.556122,22.274528
113.554950,22.274564
113.550503,22.274136
113.549336,22.273853
113.541289,22.272461
113.540200,22.272336
113.535497,22.271569
113.534386,22.271347
113.532000,22.270967
113.530889,22.270772
113.526142,22.270100
113.524964,22.269922
113.523067,22.269589
113.521897,22.269439
113.519911,22.268636
113.520031,22.267494
113.520303,22.265197
113.520433,22.264081
113.520542,22.262300
113.520506,22.261253
113.518533,22.257972
113.517353,22.257944
113.514678,22.256686
113.514836,22.255514
113.515139,22.252850
113.515253,22.251678
113.515550,22.249089
113.515706,22.247978
113.518750,22.239322
113.519647,22.240056
113.530764,22.234956
113.531803,22.234625
113.535264,22.233494
113.536281,22.233186
113.538967,22.232083
113.539928,22.231583
113.544828,22.229706
113.546028,22.229647
113.548103,22.225500
113.548242,22.224506
113.549617,22.221033
113.550731,22.220619
113.549342,22.221031
113.546394,22.229647
113.545139,22.229717
113.539061,22.231917
113.537981,22.232406
113.535669,22.233261
113.534617,22.233647
113.531567,22.234669
113.530542,22.235042
113.520269,22.240858
113.519292,22.241425
113.515947,22.246997
113.515822,22.248158
113.515444,22.251861
113.515264,22.252881
113.514864,22.256108
113.515381,22.257728
113.516492,22.257850
113.520436,22.257636
113.520500,22.258717
113.520486,22.263733
113.520378,22.264842
113.520100,22.267300
113.519994,22.268383
113.520511,22.269106
113.521667,22.269328
113.524672,22.269783
113.525853,22.270019
113.530183,22.270694
113.531336,22.270819
113.536453,22.271569
113.537667,22.271761
113.539739,22.272122
113.540953,22.272256
113.548683,22.273653
113.549811,22.273842
113.553853,22.274497
113.555069,22.274450
113.559639,22.274219
113.560767,22.273956
113.567161,22.273053
113.568217,22.272944
113.570497,22.276722
113.571503,22.276450
113.573317,22.275767
113.573878,22.276319
113.572825,22.279917
113.572156,22.280700
113.569397,22.284839
113.569078,22.285753
113.566739,22.285439
113.565542,22.284989
113.561275,22.282050
113.562400,22.282525
113.561764,22.284128
113.562275,22.288092
113.563300,22.288639
113.569672,22.285142
113.570286,22.284411
113.573222,22.279506
113.573803,22.278631
113.571133,22.276936
113.570483,22.276219
113.570469,22.274136
113.569500,22.273567
113.561822,22.273750
113.560714,22.274033
113.556222,22.274544
113.555653,22.274222
113.550478,22.274128
113.549311,22.273944
113.541353,22.272475
113.540158,22.272342
113.535531,22.271567
113.534408,22.271294
113.531975,22.270961
113.531042,22.270628
113.526153,22.270050
113.525033,22.269853
113.523069,22.269531
113.522031,22.269231
113.519894,22.268614
113.520072,22.267508
113.520464,22.265203
113.520533,22.264086
113.520606,22.262358
113.515178,22.252850
113.515381,22.251661
113.515583,22.249097
113.515736,22.248011
113.516500,22.241667
113.517117,22.240681
113.518731,22.239342
113.519611,22.240072
113.531025,22.235219
113.531697,22.234994
113.535267,22.233583
113.536192,22.233300
113.539031,22.232158
113.539972,22.231614
113.544922,22.229836
113.545794,22.230000
113.548075,22.225492
113.548231,22.224458
113.549586,22.220972
113.550756,22.220603
113.549353,22.220994
113.546414,22.229758
113.545389,22.229425
113.539008,22.231919
113.537961,22.232392
113.535661,22.233208
113.534664,22.233331
113.531547,22.234611
113.530483,22.234753
113.520222,22.240753
113.519233,22.241231
113.515811,22.246994
113.515925,22.248131
113.515219,22.251853
113.515300,22.252931
113.515064,22.255075
113.514864,22.256172
113.516478,22.257883
113.520600,22.257819
113.520594,22.258703
113.520550,22.263683
113.520414,22.264850
113.520119,22.267308
113.520075,22.268417
113.520494,22.268994
113.521703,22.269253
113.524708,22.269744
113.525925,22.269950
113.530214,22.270711
113.531325,22.270897
113.536497,22.271781
113.537564,22.271919
113.539764,22.272261
113.540775,22.272531
113.548667,22.273781
113.549669,22.274025
113.553903,22.274542
113.555039,22.274528
113.559608,22.274203
113.567114,22.273156
113.570592,22.276514
113.571375,22.276469
113.573350,22.275706
113.573789,22.276281
113.572919,22.279917
113.572239,22.280806
113.569656,22.284864
113.569108,22.285814
113.566733,22.285342
113.565622,22.285050
113.561447,22.282433
113.562356,22.282544
113.561714,22.284147
113.562136,22.288283
113.563083,22.288833
113.569467,22.285111
113.570208,22.284197
113.573081,22.279436
113.571103,22.276939
113.570308,22.276250
113.570358,22.274306
113.569436,22.273600
113.561914,22.273847
113.560719,22.274114
113.556156,22.274556
113.555000,22.274519
113.550503,22.274022
113.549356,22.273833
113.541350,22.272425
113.540214,22.272281
113.535567,22.271556
113.534383,22.271342
113.532006,22.271022
113.530883,22.270881
113.526211,22.270133
113.524975,22.269931
113.523028,22.269594
113.521894,22.269406
113.520633,22.262333
113.520636,22.261261
113.518528,22.257936
113.517319,22.257906
113.514706,22.256708
113.514836,22.255569
113.515144,22.252806
113.515294,22.251669
113.515550,22.249108
113.515653,22.247978
113.516489,22.241611
113.517039,22.240644
113.518769,22.239256
113.519642,22.240025
113.530697,22.234972
113.531786,22.234633
113.536272,22.232989
113.539992,22.231586
113.544828,22.229619
113.546022,22.229608
113.548025,22.225464
113.548222,22.224492
113.549561,22.220961
113.550719,22.220578
113.549397,22.220961
113.546400,22.229558
113.545361,22.229392
113.539014,22.231861
113.537964,22.232300
113.535681,22.233197
113.534589,22.233550
113.531611,22.234656
113.530517,22.235008
113.520197,22.240714
113.515917,22.247019
113.515483,22.251811
113.515264,22.252892
113.515003,22.255042
113.514906,22.256158
113.515325,22.257539
113.516564,22.257889
113.520539,22.257597
113.520378,22.258656
113.520336,22.263747
113.519981,22.268411
113.520494,22.269028
113.521686,22.269208
113.524714,22.269611
113.525881,22.269819
113.530242,22.270500
113.531422,22.270736
113.536511,22.271575
113.537658,22.271742
113.539775,22.272031
113.540961,22.272275
113.549831,22.273836
113.553897,22.274433
113.555081,22.274392
113.559644,22.274117
113.560769,22.273894
113.567072,22.272986
113.568267,22.272958
113.570547,22.276694
113.571378,22.276453
113.573464,22.275578
113.573892,22.276253
113.572878,22.279925
113.572253,22.280839
113.569692,22.284850
113.569131,22.285772
113.566694,22.285453
113.565681,22.285047
113.561364,22.281969
113.562422,22.282450
113.561628,22.284106
113.562242,22.288142
113.563300,22.288697
113.569642,22.285192
113.570322,22.284486
113.573308,22.279547
113.573931,22.278769
113.571103,22.276900
113.570308,22.276208
113.570453,22.274242
113.569442,22.273675
113.561828,22.273739
113.560667,22.273936
113.556131,22.274314
113.555256,22.274269
113.550431,22.273969
113.549403,22.273747
113.541386,22.272436
113.540272,22.272269
113.535522,22.271464
113.534503,22.271250
113.532069,22.270906
113.530914,22.270683
113.526167,22.270047
113.524967,22.269908
113.523083,22.269514
113.521989,22.269247
113.519814,22.268569
113.519978,22.267517
113.520344,22.265192
113.520656,22.264169
113.520642,22.262278
113.520589,22.261264
113.518417,22.257925
113.517314,22.257917
113.514597,22.256611
113.514769,22.255469
113.515031,22.252808
113.515269,22.251675
113.515500,22.249072
113.515664,22.247992
113.516431,22.241636
113.517125,22.240478
113.518825,22.239367
113.519656,22.240061
113.530772,22.234992
113.531800,22.234636
113.535189,22.233481
113.536292,22.233119
113.538978,22.232028
113.540017,22.231583
113.544831,22.229772
113.546050,22.229697
113.547842,22.225431
113.547994,22.224414
113.549544,22.220936
113.550739,22.220611
113.549353,22.220936
113.546358,22.229639
113.545256,22.229539
113.539064,22.231900
113.537950,22.232292
113.535661,22.233131
113.534544,22.233522
113.531542,22.234592
113.530519,22.235003
113.520119,22.240697
113.519203,22.241267
113.515828,22.247056
113.515744,22.248100
113.515228,22.251847
113.515072,22.252792
113.514850,22.255078
113.514689,22.255919
113.515403,22.257583
