lon,lat
113.520450,22.264856
113.520167,22.267317
113.520114,22.268442
113.520528,22.268981
113.521689,22.269153
113.524764,22.269650
113.525878,22.269856
113.530256,22.270553
113.531411,22.270742
113.536528,22.271567
113.537719,22.271756
113.539778,22.272083
113.540925,22.272247
113.567158,22.273067
113.568228,22.272942
113.570517,22.276692
113.571394,22.276372
113.538961,22.231992
113.537922,22.232456
113.535683,22.233261
113.535281,22.233906
113.546072,22.229622
113.547881,22.225467
113.548089,22.224328
113.549567,22.220956
113.550742,22.220550
113.549392,22.220947
113.546372,22.229656
113.545283,22.229497
113.539081,22.231933
113.537972,22.232353
113.535656,22.233217
113.534628,22.233581
113.531636,22.234636
113.530531,22.235053
113.520250,22.240803
113.519233,22.241347
113.515950,22.246975
113.515831,22.248081
113.515439,22.251797
113.515339,22.252928
113.515083,22.255117
113.514961,22.256136
113.515339,22.257581
113.516531,22.257739
113.520578,22.257594
113.520494,22.258686
113.520486,22.263697
113.520386,22.264844
113.520100,22.267292
113.519989,22.268389
113.520478,22.268989
113.521733,22.269167
113.524769,22.269653
113.525869,22.269833
113.530206,22.270489
113.531458,22.270703
113.536528,22.271489
113.537681,22.271681
113.539806,22.272008
113.540900,22.272164
113.548650,22.273575
113.549806,22.273836
113.553847,22.274494
113.555067,22.274400
113.559594,22.274156
113.560794,22.273942
113.567086,22.272994
113.568306,22.272994
113.570500,22.276653
113.571397,22.276508
113.573386,22.275661
113.573794,22.276250
113.572797,22.279861
113.572178,22.280697
113.569600,22.284869
113.569039,22.285664
113.566694,22.285483
113.565603,22.285058
113.561275,22.282014
113.562339,22.282467
113.561650,22.284086
113.562217,22.288144
113.563211,22.288733
113.569633,22.285228
113.570278,22.284392
113.573714,22.278572
113.571150,22.276842
113.570367,22.276200
113.570300,22.274383
113.569431,22.273608
113.561850,22.273897
113.560733,22.274100
113.556122,22.274539
113.534422,22.271289
113.532011,22.270903
113.531006,22.270669
113.526217,22.270072
113.525089,22.269875
113.522181,22.269011
113.519992,22.268625
113.520042,22.267564
113.520367,22.265189
